iter	RMSE
427	3.255823741
428	3.250825648
429	3.24807653
430	3.244365172
431	3.24220532
432	3.239182136
433	3.236238501
434	3.234716021
435	3.227676146
436	3.218083796
437	3.211923894
438	3.205546179
439	3.200148327
440	3.19897245
441	3.194883565
442	3.191484881
443	3.185192646
444	3.182014874
445	3.176919932
446	3.17364237
447	3.17030269
448	3.168026769
449	3.16419182
450	3.161340218
451	3.158473471
452	3.15554281
453	3.153857948
454	3.145138671
455	3.139813931
456	3.132639956
457	3.130550424
458	3.12586944
459	3.121062444
460	3.11675602
461	3.115017802
462	3.111495072
463	3.10852423
464	3.106484606
465	3.098854129
466	3.09628509
467	3.091820246
468	3.086336487
469	3.084995046
470	3.083391577
471	3.077686306
472	3.074275844
473	3.070320253
474	3.069242964
475	3.066037758
476	3.060029261
477	3.059831615
478	3.055020416
479	3.051673304
480	3.051499272
481	3.050430126
482	3.044286442
483	3.041954943
484	3.038674824
485	3.032650184
486	3.026167809
487	3.019112912
488	3.014196067
489	3.009099506
490	3.004543809
491	2.998203959
492	2.995349237
493	2.990591431
494	2.987110143
495	2.982442695
496	2.977572309
497	2.970026515
498	2.969092544
499	2.964411447
500	2.960899433
501	2.956656394
502	2.951084
503	2.949919668
504	2.943394454
505	2.942346791
506	2.937229449
507	2.933919543
508	2.929607185
509	2.928085644
510	2.926377056
511	2.920837297
512	2.914932081
513	2.912464487
514	2.909421562
515	2.908548393
516	2.902917126
517	2.899469377
518	2.896901943
519	2.891213342
520	2.885973718
521	2.882771558
522	2.875816248
523	2.874012322
524	2.866828469
525	2.865993584
526	2.864750982
527	2.862123168
528	2.861329839
529	2.855766495
530	2.851034223
531	2.847976393
532	2.847240432
533	2.844256558
534	2.844114134
535	2.843365236
536	2.841437998
537	2.83479787
538	2.831904578
539	2.827224029
540	2.824679552
541	2.821876125
542	2.819777616
543	2.813252794
544	2.81140459
545	2.809573768
546	2.807134828
547	2.799850002
548	2.797714997
549	2.791999931
550	2.789678534
551	2.787364463
552	2.784708611
553	2.78076805
554	2.773289833
555	2.770451667
556	2.768134908
557	2.762283411
558	2.757047093
559	2.751963653
560	2.750460796
561	2.744058458
562	2.743270127
563	2.735299326
564	2.732045689
565	2.725713651
566	2.725049187
567	2.722239634
568	2.718500976
569	2.713469247
570	2.713304425
571	2.710700169
572	2.703669129
573	2.697591116
574	2.697383934
575	2.695771898
576	2.691104414
577	2.687334673
578	2.686250253
579	2.684477971
580	2.681860513
581	2.680256377
582	2.678164451
583	2.671790141
584	2.669832716
585	2.665672809
586	2.663606497
587	2.659313502
588	2.656234974
589	2.655553176
590	2.652827114
591	2.650489889
592	2.647940357
593	2.644741649
594	2.641308828
595	2.640119342
596	2.634545381
597	2.630728221
598	2.624542289
599	2.621361305
600	2.615419398
601	2.613197655
602	2.607875938
603	2.6023983
604	2.597838823
605	2.595294354
606	2.592571811
607	2.591066393
608	2.588456358
609	2.586648826
610	2.580762625
611	2.580198391
612	2.577801131
613	2.571911748
614	2.569437417
615	2.567197321
616	2.562867718
617	2.559487583
618	2.555335657
619	2.55450651
620	2.552137551
621	2.548258443
622	2.547507627
623	2.544903433
624	2.538359665
625	2.536593752
626	2.535722171
627	2.530112013
628	2.52660058
629	2.524767194
630	2.523366056
631	2.52179701
632	2.521094948
633	2.515122094
634	2.51344131
635	2.511756765
636	2.506408774
637	2.50429316
638	2.503259692
639	2.497518642
640	2.495617046
641	2.493978906
642	2.493285016
643	2.487970647
644	2.485049342
645	2.480696475
646	2.480231553
647	2.477994199
648	2.474785803
649	2.468823998
650	2.465529259
651	2.464804507
652	2.46077947
653	2.456915082
654	2.4552618
655	2.4527805
656	2.451652138
657	2.450978695
658	2.447241051
659	2.444163771
660	2.4392001
661	2.437060841
662	2.435379808
663	2.430947031
664	2.42637682
665	2.423784741
666	2.421611964
667	2.420975661
668	2.420092741
669	2.415284305
670	2.411193346
671	2.40829227
672	2.407938941
673	2.406729469
674	2.406120297
675	2.404216062
676	2.402924086
677	2.401692833
678	2.397692738
679	2.392365924
680	2.388418183
681	2.387099903
682	2.382851612
683	2.381935691
684	2.381712845
685	2.380945759
686	2.379279569
687	2.374441594
688	2.372738436
689	2.371126835
690	2.366015871
691	2.361279832
692	2.358697086
693	2.356701876
694	2.354633736
695	2.348998749
696	2.343800251
697	2.341483721
698	2.339480949
699	2.33603721
700	2.335368209
701	2.329327432
702	2.326754575
703	2.321549274
704	2.320981997
705	2.315578855
706	2.313556045
707	2.312894563
708	2.312301069
709	2.306892984
710	2.302913517
711	2.300907354
712	2.298820856
713	2.295598369
714	2.294123285
715	2.292335692
716	2.288929629
717	2.286057306
718	2.281110212
719	2.278524586
720	2.275510578
721	2.271021154
722	2.269316643
723	2.268663713
724	2.26530438
725	2.264111362
726	2.260999574
727	2.257703194
728	2.255256231
729	2.254680574
730	2.253320237
731	2.252019694
732	2.246962926
733	2.243926961
734	2.242723855
735	2.240750014
736	2.237234849
737	2.237131875
738	2.235231881
739	2.234149298
740	2.232032359
741	2.230250238
742	2.223949304
743	2.221077144
744	2.21992998
745	2.218379697
746	2.216282124
747	2.211458928
748	2.21032743
749	2.209223199
750	2.208907175
751	2.208000087
752	2.203996902
753	2.203498688
754	2.200408819
755	2.198912318
756	2.197338312
757	2.197079446
758	2.195303976
759	2.194689036
760	2.191240046
761	2.19017687
762	2.188798479
763	2.185640545
764	2.183354513
765	2.181070045
766	2.179438303
767	2.175520115
768	2.174828952
769	2.172282388
770	2.166356855
771	2.162779814
772	2.160210716
773	2.158151201
774	2.154285897
775	2.15017121
776	2.14715283
777	2.145072223
778	2.14262883
779	2.14009954
780	2.138085779
781	2.136871086
782	2.135402753
783	2.132794939
784	2.131323827
785	2.127113669
786	2.125226517
787	2.12306304
788	2.120525894
789	2.11867147
790	2.114120849
791	2.109739169
792	2.105810978
793	2.10192517
794	2.100967385
795	2.099299209
796	2.098835173
797	2.097444158
798	2.095624921
799	2.094042878
800	2.091825246
801	2.087866721
802	2.08474927
803	2.080551034
804	2.080450761
805	2.079049833
806	2.078822474
807	2.076059818
808	2.072101809
809	2.069235641
810	2.067688752
811	2.066575207
812	2.06529339
813	2.064377448
814	2.06120612
815	2.05709197
816	2.056517876
817	2.055222447
818	2.051182003
819	2.050598792
820	2.048596883
821	2.047037986
822	2.045679983
823	2.043998347
824	2.042490997
825	2.039970644
826	2.03828171
827	2.035660305
828	2.034227239
829	2.03201738
830	2.028250974
831	2.025887206
832	2.024780666
833	2.022722367
834	2.021059612
835	2.018677767
836	2.017070019
837	2.015329416
838	2.014618605
839	2.012993844
840	2.011712527
841	2.008205315
842	2.006972134
843	2.005587129
844	2.001556052
845	2.000987628
846	1.997018846
847	1.993146946
848	1.992585879
849	1.989717269
850	1.988096034
851	1.986594335
852	1.983345101
853	1.980617362
854	1.980120293
855	1.976887131
856	1.975934232
857	1.975148554
858	1.97148019
859	1.969921922
860	1.969146767
861	1.968263796
862	1.96660723
863	1.965478292
864	1.964483987
865	1.964321563
866	1.961998759
867	1.960791366
868	1.960093524
869	1.958990755
870	1.956691173
871	1.95295797
872	1.950625747
873	1.947560533
874	1.943663898
875	1.942321772
876	1.938708249
877	1.937262634
878	1.936440943
879	1.933762636
880	1.929870781
881	1.927602673
882	1.925980745
883	1.923970837
884	1.923230648
885	1.920440077
886	1.919646225
887	1.917389959
888	1.915921097
889	1.91305994
890	1.909924995
891	1.905404987
892	1.904980176
893	1.901452292
894	1.900708082
895	1.897449342
896	1.895496354
897	1.891836934
898	1.890148954
899	1.88910849
900	1.888423448
901	1.886427741
902	1.88233308
903	1.879589425
904	1.876265889
905	1.872933411
906	1.871876223
907	1.868560651
908	1.867673509
909	1.866926504
910	1.864251505
911	1.861105367
912	1.859481476
913	1.858231182
914	1.856116091
915	1.851278559
916	1.849988716
917	1.846804622
918	1.84416118
919	1.843324145
920	1.842193812
921	1.840708025
922	1.837365483
923	1.83613945
924	1.832820322
925	1.832501133
926	1.829886257
927	1.826397122
928	1.824364737
929	1.822540756
930	1.821443854
931	1.820239897
932	1.819074415
933	1.816560091
934	1.815304695
935	1.812014073
936	1.808654928
937	1.80771522
938	1.805826512
939	1.803912498
940	1.800970206
941	1.79738595
942	1.794294966
943	1.7932327
944	1.7900509
945	1.78733682
946	1.785839881
947	1.783103615
948	1.780167549
949	1.779351959
950	1.778949546
951	1.778171409
952	1.775520419
953	1.775046071
954	1.774436592
955	1.773219654
956	1.77228794
957	1.76888006
958	1.768338363
959	1.767754661
960	1.767044259
961	1.76452901
962	1.76220644
963	1.760550783
964	1.758438138
965	1.757275827
966	1.756047861
967	1.754040479
968	1.751102644
969	1.750431214
970	1.74848785
971	1.746136491
972	1.745363087
973	1.745099022
974	1.74329406
975	1.741362544
976	1.740065472
977	1.738975607
978	1.736823919
979	1.736091857
980	1.732881758
981	1.729738342
982	1.728626122
983	1.726233378
984	1.725501184
985	1.725054893
986	1.724841733
987	1.724324928
988	1.723752676
989	1.721044114
990	1.720343559
991	1.7191752
992	1.718690143
993	1.718400886
994	1.716498758
995	1.714179925
996	1.71269596
997	1.710909042
998	1.709525737
999	1.707142893
